pp_id,stim_tempo_intended,length,edit_distance_avg,entropy_diff_avg,quantized_binary_vs_ternary_prop,quantized_binary_vs_total_prop,quantized_ternary_vs_total_prop,rhythmic_contours_edit_distance_avg,G_resp
21,400,5,3.6486486486486487,-0.0258046284443843,0.6326530612244898,0.2792792792792792,0.1621621621621621,0.5675675675675675,0.0326292955390026
22,400,5,3.939393939393939,-0.011892003267376,0.7142857142857143,0.2525252525252525,0.101010101010101,0.8787878787878788,0.024257252405586
23,400,5,3.8181818181818175,-0.2030168033084265,0.9310344827586208,0.4090909090909091,0.0303030303030303,0.5681818181818182,0.0018704693237903
24,400,5,2.627906976744186,-0.1431017466660885,0.8571428571428571,0.3720930232558139,0.0620155038759689,0.5813953488372093,0.0264111650759221
25,400,5,3.25,-0.2089628049421145,0.9375,0.3409090909090909,0.0227272727272727,0.5227272727272727,0.0377336665659511
26,400,5,2.25,-0.1105126788810486,0.6739130434782609,0.2583333333333333,0.125,0.45,0.0101922072542093
27,400,5,3.159090909090909,-0.0098073433790379,0.6181818181818182,0.2575757575757575,0.1590909090909091,0.4772727272727273,0.0115891565374649
28,400,5,2.576923076923077,-0.1116692599300353,0.925,0.4743589743589743,0.0384615384615384,0.5769230769230769,0.0447983422403409
29,400,5,2.8780487804878048,-0.1141983226127858,0.8333333333333334,0.3658536585365853,0.073170731707317,1.048780487804878,0.0127260159032687
30,400,5,3.0930232558139537,-0.1583124485197091,0.9636363636363636,0.4108527131782946,0.0155038759689922,0.3953488372093023,0.0841686631452958
31,400,5,3.090909090909091,-0.0985354008373692,0.7592592592592593,0.3106060606060606,0.0984848484848484,0.5454545454545454,0.0174858973532295
32,400,5,4.255813953488372,0.0150531316980583,0.72,0.2790697674418604,0.1085271317829457,0.4651162790697674,0.01136788295361
33,400,5,3.857142857142857,0.0235416919000309,0.75,0.3142857142857143,0.1047619047619047,0.8571428571428571,0.0547334726644017
34,400,5,3.333333333333333,0.0202732554054082,0.8085106382978723,0.4222222222222222,0.1,0.5,0.0464001646455261
35,400,5,2.7222222222222223,-0.0083530853537926,0.8048780487804879,0.3055555555555556,0.074074074074074,0.5555555555555556,0.0092277410778223
36,400,5,3.232558139534884,-0.0736052286061207,0.8048780487804879,0.2558139534883721,0.0620155038759689,0.6046511627906976,0.0023082345807952
37,400,5,3.1956521739130435,-0.0065371972334029,0.5686274509803921,0.2101449275362318,0.1594202898550724,0.5217391304347826,0.0209757834981522
38,400,5,3.976190476190476,0.0753577340491236,0.5531914893617021,0.2063492063492063,0.1666666666666666,0.5952380952380952,0.0283695050303762
39,400,5,3.4871794871794872,-0.1021079110224383,0.8852459016393442,0.4615384615384615,0.0598290598290598,0.8461538461538461,0.0460534607075084
40,400,5,2.717391304347826,-0.1074729412827498,0.8717948717948718,0.2463768115942029,0.036231884057971,0.3043478260869565,0.0055506237212967
41,400,5,2.7954545454545454,-0.0708900525572671,0.7777777777777778,0.2121212121212121,0.0606060606060606,0.4772727272727273,0.0015019140116944
42,400,5,2.731707317073171,-0.1226513370098583,0.8666666666666667,0.3170731707317073,0.048780487804878,0.7073170731707317,0.0237354344104194
43,400,5,4.242424242424242,0.0499369222121868,0.4473684210526316,0.1717171717171717,0.2121212121212121,1.0,0.0342286088435382
44,400,5,3.4871794871794872,-0.1956767821243224,0.8095238095238095,0.2905982905982906,0.0683760683760683,0.8717948717948718,0.0044877129978194
45,400,5,2.272727272727273,-0.0561790374887101,0.7692307692307693,0.303030303030303,0.0909090909090909,0.6136363636363636,0.0661237375992299
46,400,5,4.289473684210527,-0.1448971169375079,0.4285714285714285,0.1842105263157894,0.2456140350877192,0.6842105263157895,0.0627770085829985
47,400,5,2.4047619047619047,-0.0990210257942778,0.7719298245614035,0.3492063492063492,0.1031746031746031,0.7380952380952381,0.0019345064284009
48,400,5,2.617021276595745,-0.0360378925648,0.72,0.2553191489361702,0.0992907801418439,0.3617021276595745,0.0032634146066528
49,400,5,2.6511627906976742,-0.1149710534652673,0.7555555555555555,0.2635658914728682,0.0852713178294573,0.4883720930232558,0.0023741834835072
50,400,5,4.103448275862069,0.0836556942055106,0.5416666666666666,0.1494252873563218,0.1264367816091954,1.3103448275862069,0.0243760496679453
51,400,5,2.972972972972973,-0.0820057511924879,0.8888888888888888,0.2882882882882883,0.036036036036036,0.8648648648648649,0.0465500154197643
52,400,5,3.65625,-0.0690704243006554,0.8055555555555556,0.3020833333333333,0.0729166666666666,1.125,0.0158794040836399
