pp_id,stim_tempo_intended,length,entropy_diff_avg,G_diff
35,600,4,-0.0874029009379539,0.059817772452185
36,600,4,0.031506690025452,0.0791534248761649
37,600,4,-0.0072673353300631,0.0574605905027491
38,600,4,-0.0205376942388132,0.0179158110086791
39,600,4,-0.170895244903928,0.244538097396505
40,600,4,-0.080650021060581,0.0569954081766947
41,600,4,-0.0508589179510707,0.0402923941450067
42,600,4,-0.0835096663639472,0.0271033455763838
43,600,4,0.0112706858627633,0.0098713746897416
44,600,4,-0.09349891818452,0.0109592270491901
45,600,4,-0.0225413717255267,0.0074402189378032
46,600,4,-0.0602923137368305,0.0110568900230271
47,600,4,-0.175929290438607,0.0070659540514281
48,600,4,-0.0096270441744436,0.0598508900981912
49,600,4,-0.119158197758356,0.0268680960719169
50,600,4,-0.0296053101532471,0.100196300333736
51,600,4,0.0181861190941375,0.139555666651417
52,600,4,0.0353618982386007,0.0789134801629499
53,600,4,-0.121876684084148,0.0363715746750239
54,600,4,-0.0678569743061481,0.107949641167668
55,600,4,-0.0992615643822536,0.060300190997913
56,600,4,-0.175864897140007,0.0905602965261915
57,600,4,-0.010502230008484,0.0219724229546769
58,600,4,-0.0102688471194066,0.0408360063780711
59,600,4,-0.0102688471194066,0.109476614847044
60,600,4,0.0091797919958692,0.0040150242520505
61,600,4,-0.0197787857613739,0.0102871561610768
62,600,4,-0.212287185896315,0.0767477610758282
63,600,4,-0.144486323529622,0.322195018390045
64,600,4,-0.0154032706791099,0.0451572424547346
65,600,4,-0.0493367934003586,0.0270792077230523
66,600,4,0.0192883081301458,0.001729714059855
20,600,5,-0.0758835511725896,0.0290679193573804
21,600,5,-0.0688048876100694,0.0583138085076214
22,600,5,-0.109992182546175,0.0842824485655581
23,600,5,-0.131999755358621,0.0888238615764194
24,600,5,-0.118922193855858,0.0257336012337416
25,600,5,-0.0075342084843472,0.0013137464342031
26,600,5,-0.140005844258509,0.0242100186640026
27,600,5,-0.0144188498620207,0.0431255198947828
28,600,5,-0.0407733635623497,0.043482212006654
29,600,5,-0.113501922512427,0.151468442344938
30,600,5,-0.110862342919114,0.116342681492827
31,600,5,0.0132216883078749,0.0573576647557266
32,600,5,0.0396527656881064,0.0062497563885757
33,600,5,0.0205989804125271,0.173049558998739
34,600,5,0.0165035042990463,0.0353185398240899
35,600,5,-0.0288811325233311,0.0142027357297819
36,600,5,-0.0247552564485695,0.0701565971303525
37,600,5,-0.0649825481774949,0.0479890211202164
38,600,5,0.0183102048111352,0.0226968807637871
39,600,5,-0.120369420313366,0.0467528974206397
40,600,5,-0.0631174077865417,0.0444533303765427
41,600,5,-0.0302638335516789,0.0702336938489529
42,600,5,-0.0610827091782292,0.0042191744224087
43,600,5,-0.0704612809945805,0.0472045429730973
44,600,5,-0.0443220449618253,0.0873387640730697
45,600,5,-0.118922193855858,0.0230798621903991
46,600,5,0.0,0.0185605049729477
47,600,5,-0.153834377666045,0.121242914500312
48,600,5,-0.0368695308808482,0.0158871166957672
49,600,5,0.013077561502763,0.0167492709883051
50,600,5,-0.0432988085259115,0.0164099834594169
51,600,5,0.0315066900254521,0.0456634407485928
52,600,5,-0.0128360588992582,0.0151142532627475
53,600,5,-0.0126707846283801,0.0544653601769669
54,600,5,0.0165035042990463,0.0318525901435903
55,600,5,0.004903671689519,0.0825491150748597
56,600,5,-0.0827820558246432,0.104342246160466
57,600,5,-0.0722216521880198,0.0680980936765295
58,600,5,-0.0221217185285089,0.0170453109239534
