pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,length,n_resp,stim_tempo_intended,stim_tempo,stim_sd,interval_i,stim_ioi,resp_iti,ioi_iti_diff,edit_distance,stim_entropy,resp_entropy,entropy_diff,G,silhouette,rhythmic_contours_edit_distance
22,25,Male,Romanian,right,0,38,22_38,5,5,600,697.513089005236,118.08913774079,2,716.492146596859,699.545454545455,16.9466920514039,4,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,38,22_38,5,5,600,697.513089005236,118.08913774079,3,734.816753926701,274.090909090909,460.725844835792,4,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,38,22_38,5,5,600,697.513089005236,118.08913774079,4,530.628272251309,501.136363636364,29.4919086149453,4,1.3862943611198906,1.3862943611198906,0.0,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,40,22_40,5,5,600,721.073298429319,212.610735896621,1,402.356020942408,762.954545454545,360.598524512137,3,1.039720770839918,1.039720770839918,0.0,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,40,22_40,5,5,600,721.073298429319,212.610735896621,2,836.910994764398,754.772727272727,82.1382674916708,3,1.039720770839918,1.039720770839918,0.0,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,40,22_40,5,5,600,721.073298429319,212.610735896621,3,826.439790575916,398.863636363636,427.57615421228,3,1.039720770839918,1.039720770839918,0.0,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,40,22_40,5,5,600,721.073298429319,212.610735896621,4,818.586387434555,785.454545454545,33.1318419800095,3,1.039720770839918,1.039720770839918,0.0,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,41,22_41,5,5,400,454.973821989529,149.932445825669,1,574.083769633508,627.954545454545,53.8707758210377,3,1.3862943611198906,1.3862943611198906,0.0,0.026744121496339535,0.6401327396261548,1
22,25,Male,Romanian,right,0,41,22_41,5,5,400,454.973821989529,149.932445825669,2,241.623036649215,235.227272727273,6.39576392194192,3,1.3862943611198906,1.3862943611198906,0.0,0.026744121496339535,0.6401327396261548,1
22,25,Male,Romanian,right,0,41,22_41,5,5,400,454.973821989529,149.932445825669,3,542.670157068063,321.136363636364,221.533793431699,3,1.3862943611198906,1.3862943611198906,0.0,0.026744121496339535,0.6401327396261548,1
22,25,Male,Romanian,right,0,41,22_41,5,5,400,454.973821989529,149.932445825669,4,461.51832460733,654.545454545455,193.027129938125,3,1.3862943611198906,1.3862943611198906,0.0,0.026744121496339535,0.6401327396261548,1
22,25,Male,Romanian,right,0,42,22_42,5,5,600,679.842931937173,123.620093749923,1,507.068062827225,748.636363636364,241.568300809138,3,1.3862943611198906,0.0,-1.3862943611198906,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,42,22_42,5,5,600,679.842931937173,123.620093749923,2,737.434554973822,720.0,17.4345549738217,3,1.3862943611198906,0.0,-1.3862943611198906,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,42,22_42,5,5,600,679.842931937173,123.620093749923,3,682.460732984293,756.818181818182,74.3574488338884,3,1.3862943611198906,0.0,-1.3862943611198906,0.012837715282373874,0.5286559654214381,2
22,25,Male,Romanian,right,0,42,22_42,5,5,600,679.842931937173,123.620093749923,4,792.408376963351,726.136363636364,66.2720133269875,3,1.3862943611198906,0.0,-1.3862943611198906,0.012837715282373874,0.5286559654214381,2
