pp_id_behav,pp_id_scan,stim_tempo_intended,length,condition,n_trials,G_resp,entropy_diff_norm_q_avg,asynchrony_norm_abs_avg,iti_ioi_cov_diff_avg,binary_or_ternary_introduced,tempo_deviation_abs_avg
47,43,400,5,400_5,40,0.0016041840091816,-0.10397207708399181,0.029999833363958495,0.0144450613649667,1.159375,0.09093167337707239
47,43,600,4,600_4,45,0.039353395176284,-0.14899866125642047,0.028532899680220013,-0.008265381687501728,1.3472222222222223,0.08704093710926397
47,43,600,5,600_5,42,0.0122120509240361,-0.21050034072580695,0.02844082027146341,-0.01321819771007478,0.28373015873015883,0.06515709568261069
49,44,400,4,400_4,42,0.0308088634293008,-0.11002336199364207,0.03148478409362462,0.011705787665690371,0.9434523809523812,0.07666856235971467
49,44,400,5,400_5,41,0.0041210242937858,-0.12584187447183728,0.024875927892147157,0.006199056364079494,0.6758130081300818,0.06545760010395596
49,44,600,4,600_4,48,0.0496510946094344,-0.09990410940946842,0.026060404630031495,0.009969496652840958,0.5585937500000002,0.08306036256207196
49,44,600,5,600_5,42,0.02338398727536,-0.04857987001965655,0.02505870519251611,0.0234175014358944,1.5605158730158735,0.09719346771078137
40,46,400,4,400_4,46,0.0262658665215965,-0.060273667874777836,0.02539481155509639,-0.021034413129337712,-1.1236413043478262,0.10475075521411222
40,46,400,5,400_5,47,0.0097805583445272,-0.10240304815032673,0.02180922657982444,-0.03719175292503613,-0.8408687943262412,0.09657254694324652
40,46,600,4,600_4,48,0.0739635060122749,-0.0939107329000563,0.028443134442190217,-0.014641902168599782,-0.5585937500000002,0.07562973476401708
40,46,600,5,600_5,46,0.0484413041158808,-0.0621203965355974,0.02792943972091202,-0.021790275396029686,-0.12952898550724645,0.05851429373413692
65,47,400,4,400_4,44,0.0084565978878624,-0.09194584224612286,0.03273030154774958,-0.03981070026271343,-0.07102272727272717,0.07323393883289332
65,47,400,5,400_5,42,0.0225894729659863,-0.19399683642676063,0.02874551421361759,-0.03957421745971338,-0.7589285714285714,0.07742497609881764
65,47,600,4,600_4,43,0.0446680339950397,-0.08333764973153741,0.032725533491842894,-0.02812137097328077,-1.2470930232558142,0.0979134688004958
65,47,600,5,600_5,38,0.0167875229732765,-0.06504941182903282,0.030099646883558758,-0.006939678001391406,-0.9407894736842107,0.1066536468633585
64,48,400,4,400_4,32,0.0634944582038609,0.05231176354911473,0.03622032558223592,0.002277828366121768,0.18164062500000014,0.09747513774273692
64,48,400,5,400_5,31,0.090595747209624,0.02657932956455104,0.03395609750900538,-0.0007278752911811765,0.8938172043010757,0.11179642191396984
64,48,600,4,600_4,30,0.0490100415824988,0.024992673094169252,0.04137459610840808,0.004415732107663421,0.0,0.17830990079506664
