pp_id,stim_tempo_intended,length,sequence_id,interval_ratio_i,interval_ratio,quantized_ratio_i,quantized_ratio,quantized_ratio_str
20,600,4,20_163,1,0.5278969957081544,1,0.5555555555555556,5:4
20,600,4,20_163,2,0.5527638190954774,2,0.5714285714285714,4:3
20,600,4,20_165,1,0.5594202898550725,1,0.5555555555555556,5:4
20,600,4,20_165,2,0.5779467680608366,2,0.5714285714285714,4:3
20,600,4,20_173,1,0.403169014084507,1,0.4,2:3
20,600,4,20_173,2,0.5167682926829268,2,0.5,1:1
20,600,4,20_175,1,0.4753451676528597,1,0.5,1:1
20,600,4,20_175,2,0.4818840579710144,2,0.5,1:1
20,600,4,20_181,1,0.4993773349937735,1,0.5,1:1
20,600,4,20_181,2,0.4981412639405203,2,0.5,1:1
20,600,4,20_183,1,0.5660377358490564,1,0.5555555555555556,5:4
20,600,4,20_183,2,0.4911032028469753,2,0.5,1:1
20,600,4,20_185,1,0.3666666666666665,1,0.3636363636363636,4:7
20,600,4,20_185,2,0.5318818040435461,2,0.5384615384615384,7:6
20,600,4,20_187,1,0.511470985155196,1,0.5,1:1
20,600,4,20_187,2,0.5665101721439748,2,0.5714285714285714,4:3
20,600,4,20_2,1,0.5125628140703518,1,0.5,1:1
20,600,4,20_2,2,0.568081991215227,2,0.5714285714285714,4:3
20,600,4,20_22,1,0.4823529411764707,1,0.5,1:1
20,600,4,20_22,2,0.4645550527903468,2,0.5,1:1
20,600,4,20_26,1,0.3591682419659737,1,0.3333333333333333,1:2
20,600,4,20_26,2,0.5458937198067633,2,0.5714285714285714,4:3
20,600,4,20_28,1,0.507936507936508,1,0.5,1:1
20,600,4,20_28,2,0.5,2,0.5,1:1
20,600,4,20_30,1,0.3995901639344259,1,0.4,2:3
20,600,4,20_30,2,0.5213523131672597,2,0.5,1:1
20,600,4,20_32,1,0.5013812154696132,1,0.5,1:1
20,600,4,20_32,2,0.6798493408662899,2,0.6666666666666666,2:1
20,600,4,20_34,1,0.4609665427509293,1,0.5,1:1
20,600,4,20_34,2,0.5350553505535056,2,0.5,1:1
20,600,4,20_38,1,0.5063291139240506,1,0.5,1:1
20,600,4,20_38,2,0.5693430656934307,2,0.5714285714285714,4:3
20,600,4,20_44,1,0.4161073825503354,1,0.4,2:3
20,600,4,20_44,2,0.5009596928982724,2,0.5,1:1
20,600,4,20_49,1,0.4457236842105263,1,0.4444444444444444,4:5
20,600,4,20_49,2,0.4977843426883311,2,0.5,1:1
20,600,4,20_51,1,0.4788029925187034,1,0.5,1:1
20,600,4,20_51,2,0.4717832957110607,2,0.5,1:1
20,600,4,20_53,1,0.3760330578512394,1,0.375,3:5
20,600,4,20_53,2,0.5058626465661642,2,0.5,1:1
20,600,4,20_55,1,0.703096539162113,1,0.7,7:3
20,600,4,20_55,2,0.4909638554216869,2,0.5,1:1
20,600,4,20_57,1,0.484725050916497,1,0.5,1:1
20,600,4,20_57,2,0.49031007751938,2,0.5,1:1
20,600,4,20_6,1,0.4946364719904648,1,0.5,1:1
20,600,4,20_6,2,0.5108433734939759,2,0.5,1:1
20,600,4,20_61,1,0.5204460966542751,1,0.5,1:1
20,600,4,20_61,2,0.6272285251215561,2,0.6666666666666666,2:1
20,600,4,20_67,1,0.4313725490196077,1,0.4285714285714285,3:4
20,600,4,20_67,2,0.6835016835016834,2,0.6666666666666666,2:1
20,600,4,20_73,1,0.6303418803418805,1,0.625,5:3
20,600,4,20_73,2,0.3793859649122805,2,0.375,3:5
20,600,4,20_77,1,0.5071684587813619,1,0.5,1:1
20,600,4,20_77,2,0.4716981132075472,2,0.5,1:1
20,600,4,20_79,1,0.3730017761989344,1,0.4,2:3
20,600,4,20_79,2,0.5252976190476192,2,0.5,1:1
20,600,4,20_81,1,0.6447602131438721,1,0.6666666666666666,2:1
20,600,4,20_81,2,0.418410041841004,2,0.4,2:3
20,600,4,20_83,1,0.5561959654178675,1,0.5714285714285714,4:3
20,600,4,20_83,2,0.605108055009823,2,0.6,3:2
20,600,4,20_87,1,0.3477443609022557,1,0.3333333333333333,1:2
20,600,4,20_87,2,0.5802675585284279,2,0.5714285714285714,4:3
20,600,4,20_95,1,0.4853801169590644,1,0.5,1:1
20,600,4,20_95,2,0.6330935251798564,2,0.625,5:3
20,600,5,20_106,1,0.4089979550102248,1,0.3333333333333333,1:2
20,600,5,20_106,2,0.6282608695652177,2,0.6666666666666666,2:1
20,600,5,20_106,3,0.3525773195876288,3,0.3333333333333333,1:2
20,600,5,20_110,1,0.5527638190954772,1,0.5555555555555556,5:4
20,600,5,20_110,2,0.5047258979206051,2,0.5,1:1
20,600,5,20_110,3,0.5610278372591005,3,0.5714285714285714,4:3
20,600,5,20_112,1,0.579970104633782,1,0.5714285714285714,4:3
20,600,5,20_112,2,0.485319516407599,2,0.5,1:1
20,600,5,20_112,3,0.5995975855130784,3,0.6,3:2
20,600,5,20_116,1,0.5289256198347111,1,0.5,1:1
20,600,5,20_116,2,0.434451219512195,2,0.4285714285714285,3:4
20,600,5,20_116,3,0.6578014184397164,3,0.6666666666666666,2:1
20,600,5,20_118,1,0.4266666666666667,1,0.4285714285714285,3:4
20,600,5,20_118,2,0.5276073619631902,2,0.5,1:1
20,600,5,20_118,3,0.42,3,0.4444444444444444,4:5
20,600,5,20_12,1,0.4946808510638299,1,0.5,1:1
20,600,5,20_12,2,0.6797853309481213,2,0.6666666666666666,2:1
20,600,5,20_12,3,0.3951434878587201,3,0.4,2:3
20,600,5,20_122,1,0.3685039370078741,1,0.375,3:5
20,600,5,20_122,2,0.5470668485675309,2,0.5555555555555556,5:4
20,600,5,20_122,3,0.6747967479674798,3,0.6666666666666666,2:1
20,600,5,20_126,1,0.3727087576374746,1,0.375,3:5
20,600,5,20_126,2,0.4624624624624625,2,0.4545454545454545,5:6
20,600,5,20_126,3,0.5474006116207952,3,0.5454545454545454,6:5
20,600,5,20_128,1,0.5120772946859903,1,0.5,1:1
20,600,5,20_128,2,0.4429824561403507,2,0.4615384615384615,6:7
20,600,5,20_128,3,0.649063032367973,3,0.6363636363636364,7:4
20,600,5,20_132,1,0.5040650406504066,1,0.5,1:1
20,600,5,20_132,2,0.5160744500846023,2,0.5,1:1
20,600,5,20_132,3,0.5218978102189781,3,0.5,1:1
20,600,5,20_14,1,0.3468309859154928,1,0.3333333333333333,1:2
20,600,5,20_14,2,0.5455882352941174,2,0.5714285714285714,4:3
20,600,5,20_14,3,0.5193277310924371,3,0.5,1:1
20,600,5,20_140,1,0.4982638888888885,1,0.5,1:1
20,600,5,20_140,2,0.433933933933934,2,0.4444444444444444,4:5
20,600,5,20_140,3,0.543227665706052,3,0.5555555555555556,5:4
20,600,5,20_142,1,0.5833333333333334,1,0.6,3:2
20,600,5,20_142,2,0.4389721627408994,2,0.4,2:3
20,600,5,20_142,3,0.4686940966010733,3,0.5,1:1
20,600,5,20_144,1,0.4150537634408602,1,0.4,2:3
20,600,5,20_144,2,0.4874551971326163,2,0.5,1:1
20,600,5,20_144,3,0.4814814814814814,3,0.5,1:1
20,600,5,20_145,1,0.5024271844660194,1,0.5,1:1
20,600,5,20_145,2,0.506172839506173,2,0.5,1:1
20,600,5,20_145,3,0.5076142131979694,3,0.5,1:1
20,600,5,20_149,1,0.4935064935064936,1,0.5,1:1
20,600,5,20_149,2,0.471299093655589,2,0.4444444444444444,4:5
20,600,5,20_149,3,0.6034482758620692,3,0.625,5:3
20,600,5,20_151,1,0.5665399239543729,1,0.5714285714285714,4:3
20,600,5,20_151,2,0.4056939501779358,2,0.375,3:5
20,600,5,20_151,3,0.5178294573643409,3,0.5555555555555556,5:4
20,600,5,20_157,1,0.507936507936508,1,0.5,1:1
20,600,5,20_157,2,0.4596375617792421,2,0.4444444444444444,4:5
20,600,5,20_157,3,0.6295585412667948,3,0.625,5:3
20,600,5,20_159,1,0.6843800322061192,1,0.6666666666666666,2:1
20,600,5,20_159,2,0.5226666666666665,2,0.5,1:1
20,600,5,20_159,3,0.4673629242819848,3,0.5,1:1
20,600,5,20_161,1,0.4576923076923077,1,0.4285714285714285,3:4
20,600,5,20_161,2,0.4577922077922079,2,0.4444444444444444,4:5
20,600,5,20_161,3,0.5566666666666666,3,0.5555555555555556,5:4
20,600,5,20_167,1,0.4637436762225967,1,0.5,1:1
20,600,5,20_167,2,0.464233576642336,2,0.4285714285714285,3:4
20,600,5,20_167,3,0.655357142857143,3,0.6666666666666666,2:1
20,600,5,20_169,1,0.34983498349835,1,0.3333333333333333,1:2
20,600,5,20_169,2,0.6533996683250415,2,0.6666666666666666,2:1
20,600,5,20_169,3,0.3403908794788273,3,0.3333333333333333,1:2
20,600,5,20_171,1,0.4922600619195044,1,0.5,1:1
20,600,5,20_171,2,0.5085271317829457,2,0.5,1:1
20,600,5,20_171,3,0.5493934142114384,3,0.5555555555555556,5:4
20,600,5,20_177,1,0.4957841483979763,1,0.5,1:1
20,600,5,20_177,2,0.4509803921568628,2,0.4285714285714285,3:4
20,600,5,20_177,3,0.6570397111913354,3,0.6666666666666666,2:1
20,600,5,20_179,1,0.5311475409836066,1,0.5,1:1
20,600,5,20_179,2,0.4568690095846647,2,0.5,1:1
20,600,5,20_179,3,0.6488549618320612,3,0.6666666666666666,2:1
20,600,5,20_18,1,0.6783831282952548,1,0.6666666666666666,2:1
20,600,5,20_18,2,0.514044943820225,2,0.5,1:1
20,600,5,20_18,3,0.4957020057306587,3,0.5,1:1
20,600,5,20_189,1,0.5173745173745175,1,0.5,1:1
20,600,5,20_189,2,0.4743833017077797,2,0.5,1:1
20,600,5,20_189,3,0.5120147874306838,3,0.5,1:1
20,600,5,20_191,1,0.4962406015037593,1,0.5,1:1
20,600,5,20_191,2,0.4962962962962965,2,0.5,1:1
20,600,5,20_191,3,0.5182926829268293,3,0.5,1:1
20,600,5,20_20,1,0.4846796657381615,1,0.5,1:1
