pp_id_behav,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,stim_tempo_intended,stim_tempo,stim_sd,length,n_resp,ITI_mean,ITI_sd,tempo_ratio_resp_to_stim,asynchrony_norm_abs_trialsum,stim_entropy_norm_q,resp_entropy_norm_q,entropy_diff_norm_q,G_resp,k_clusters_resp,G_stim,k_clusters_stim,G_diff,silhouette,iti_ioi_cov_diff,edit_distance_norm_q
56,29,female,indonesian,right,0,107,56_107,400,457.692307692308,189.037678194591,4,4,485.454545454545,223.922004388999,0.8105672889438026,0.14387072500093,0.6365141682948128,1.0986122886681096,0.4620981203732968,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,0.0393870253371701,2.0
56,29,female,indonesian,right,0,108,56_108,600,595.920745920746,144.263434882532,4,4,597.954545454545,57.8662428892331,0.8105672889438026,0.1126963910937779,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.1186461685321583,2.0
56,29,female,indonesian,right,0,109,56_109,400,463.519813519814,140.049405737413,4,4,459.545454545455,144.640299072224,0.8105672889438026,0.0573482987116573,1.0986122886681096,1.0986122886681096,0.0,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,0.0102904270581035,0.0
56,29,female,indonesian,right,0,110,56_110,600,573.821989528796,181.423244910981,5,5,525.681818181818,153.459082763597,0.978463028737488,0.1049944616433298,1.039720770839918,0.6931471805599453,-0.3465735902799726,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,-0.0209946455182922,2.0
56,29,female,indonesian,right,0,112,56_112,600,492.191142191142,31.7264745660051,4,4,505.909090909091,5.14761438768465,0.978463028737488,0.0394917321585753,0.0,0.0,0.0,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,-0.0443232578829608,0.0
56,29,female,indonesian,right,0,113,56_113,400,412.237762237762,218.104477954555,4,4,451.363636363636,219.315591129305,0.978463028737488,0.0369183094212505,1.0986122886681096,1.0986122886681096,0.0,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,-0.0352554293734327,2.0
56,29,female,indonesian,right,0,114,56_114,600,653.030303030303,186.410972003571,4,4,683.863636363636,251.002638193636,0.8323921576362453,0.122431207181597,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,0.0666104260154148,2.0
56,29,female,indonesian,right,0,115,56_115,400,426.832460732984,137.434554973822,5,5,489.375,240.155150651194,0.8323921576362453,0.1820854229571681,1.039720770839918,1.039720770839918,0.0,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,0.1461429766267193,2.0
56,29,female,indonesian,right,0,116,56_116,600,768.193717277487,49.8700833112375,5,5,683.181818181818,29.1671585948283,0.8323921576362453,0.0325558628865968,0.0,0.0,0.0,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.0192478618555591,0.0
56,29,female,indonesian,right,0,117,56_117,400,430.885780885781,157.355606822729,4,4,454.772727272727,148.761415285302,0.8323921576362453,0.09434449667241,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,-0.0310917298012533,2.0
56,29,female,indonesian,right,0,118,56_118,600,660.86387434555,112.197030943546,5,5,667.840909090909,26.6433050216999,0.776538985859774,0.1045117723795325,0.5623351446188083,0.0,-0.5623351446188083,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.1124781640711769,2.0
56,29,female,indonesian,right,0,119,56_119,400,430.104712041885,106.764355456773,5,5,442.329545454545,121.256815860231,0.776538985859774,0.0609149342630676,0.6931471805599453,0.6931471805599453,0.0,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,0.0224331319124733,0.0
56,29,female,indonesian,right,0,120,56_120,600,535.314685314685,133.966741682993,4,4,506.590909090909,204.395399505084,0.776538985859774,0.1188572111754119,0.6365141682948128,0.6365141682948128,0.0,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,0.1250990147937702,2.0
56,29,female,indonesian,right,0,121,56_121,400,404.079254079254,173.432682800881,4,4,450.681818181818,188.196639732519,0.776538985859774,0.1441977023912946,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,-0.0094897848936854,2.0
56,29,female,indonesian,right,0,122,56_122,600,660.20942408377,173.124876848053,5,5,582.443181818182,168.162199408539,0.5928143712574855,0.0891123869387494,0.5623351446188083,0.5623351446188083,0.0,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.0229422434895397,0.0
56,29,female,indonesian,right,0,123,56_123,400,348.135198135198,64.8818911874908,4,4,355.909090909091,133.331633081446,0.5928143712574855,0.1579064836513783,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.1537078594418668,2.0
56,29,female,indonesian,right,0,125,56_125,400,455.361305361305,98.9784323802431,4,4,390.681818181818,135.618418262052,0.5928143712574855,0.098049279250426,0.6365141682948128,1.0986122886681096,0.4620981203732968,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.1059569614765285,0.0
56,29,female,indonesian,right,0,126,56_126,600,535.314685314685,127.945275968755,4,4,506.590909090909,201.343114078373,0.729602703256194,0.1262216861693971,0.6365141682948128,1.0986122886681096,0.4620981203732968,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.1293638306526755,2.0
56,29,female,indonesian,right,0,128,56_128,600,493.324607329843,151.174705130718,5,5,510.852272727273,154.251098352573,0.729602703256194,0.0593705937298403,0.5623351446188083,1.039720770839918,0.4773856262211096,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,-0.0038902662232366,1.0
56,29,female,indonesian,right,0,130,56_130,600,671.989528795812,147.637171380191,5,5,649.431818181818,153.035909738275,0.729602703256194,0.0459999570564005,0.5623351446188083,0.5623351446188083,0.0,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.0138081256712162,0.0
56,29,female,indonesian,right,0,131,56_131,400,356.151832460733,119.683905660692,5,5,432.102272727273,173.517369090339,0.8193106562311859,0.208868563376238,1.3862943611198906,1.3862943611198906,0.0,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,0.0567403264859353,2.0
56,29,female,indonesian,right,0,132,56_132,600,676.340326340326,130.09311270459,4,4,601.363636363636,12.4420142665192,0.8193106562311859,0.1469601109442572,1.0986122886681096,0.0,-1.0986122886681096,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.1401589280351736,2.0
56,29,female,indonesian,right,0,133,56_133,400,369.895287958115,222.774715302547,5,5,375.852272727273,186.853326986129,0.8193106562311859,0.0880598523910623,0.6931471805599453,0.6931471805599453,0.0,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,-0.0910353841841774,0.0
56,29,female,indonesian,right,0,134,56_134,600,509.031413612565,66.8565067493305,5,5,525.681818181818,15.6669890360127,0.8193106562311859,0.1067792726767002,1.039720770839918,0.0,-1.039720770839918,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.0879340128093716,2.0
56,29,female,indonesian,right,0,136,56_136,600,536.51832460733,222.717030039066,5,5,463.806818181818,187.835959347423,0.6628926213302497,0.0995784326884254,1.039720770839918,0.6931471805599453,-0.3465735902799726,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.0087710448976889,2.0
56,29,female,indonesian,right,0,137,56_137,400,430.885780885781,235.003881792607,4,4,471.818181818182,223.641560360907,0.6628926213302497,0.1661220392725869,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,-0.0582959843571694,2.0
56,29,female,indonesian,right,0,138,56_138,600,760.340314136126,135.762285187623,5,5,743.522727272727,59.3886728493734,0.6628926213302497,0.1372828246640007,0.5623351446188083,0.0,-0.5623351446188083,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.0854593071444051,1.0
56,29,female,indonesian,right,0,139,56_139,400,497.319347319347,71.6854280404744,4,4,452.045454545455,83.3130484953393,0.6628926213302497,0.0568224838203741,0.6365141682948128,1.0986122886681096,0.4620981203732968,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,0.0327894538969896,1.0
56,29,female,indonesian,right,0,141,56_141,400,325.990675990676,29.7374145038999,4,4,322.5,16.6592614402781,0.8338663312971601,0.099052064995642,0.0,0.0,0.0,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,-0.0323047258681565,0.0
56,29,female,indonesian,right,0,142,56_142,600,611.072261072261,162.440091663943,4,4,604.772727272727,339.430429585984,0.8338663312971601,0.5140666429991699,0.6365141682948128,0.6365141682948128,0.0,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,0.2412134311048594,3.0
56,29,female,indonesian,right,0,143,56_143,400,416.361256544503,212.836240736899,5,5,414.204545454545,222.497446359197,0.8338663312971601,0.0895044263586647,1.039720770839918,0.6931471805599453,-0.3465735902799726,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,0.0225048653875749,1.0
56,29,female,indonesian,right,0,144,56_144,600,773.076923076923,25.2136452829649,4,4,786.136363636364,9.66644105369832,0.8338663312971601,0.0333730438454003,0.0,0.0,0.0,0.0907025912709897,2.0,0.0008300969703931,2.0,0.0898724943005966,0.6100433429795621,-0.0165900084326079,0.0
56,29,female,indonesian,right,0,145,56_145,600,636.649214659686,172.755036145512,5,5,533.352272727273,193.756664774732,0.6697010034814661,0.1211958561462382,1.3862943611198906,1.039720770839918,-0.3465735902799727,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.0796140782466744,2.0
56,29,female,indonesian,right,0,148,56_148,400,477.505827505828,135.43404383866,4,4,484.090909090909,172.429917491951,0.6697010034814661,0.0919649210861946,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.0191910788666626,2.0,0.0041020478429838,2.0,0.0150890310236787,0.5345417565609202,0.0592492481644151,1.0
56,29,female,indonesian,right,0,151,56_151,600,599.34554973822,187.123951698715,5,5,536.931818181818,193.973378296104,0.6697010034814661,0.0854397404299132,1.039720770839918,0.6931471805599453,-0.3465735902799726,0.0927709014130173,3.0,0.0056979444653937,2.0,0.0870729569476236,0.6100433429795621,0.0424774964150064,1.0
56,29,female,indonesian,right,0,152,56_152,400,421.561771561772,107.219772793538,4,4,428.181818181818,134.912161506345,0.8500836883749241,0.0736692793584435,0.6365141682948128,0.6365141682948128,0.0,0.0529709425213091,2.0,0.0300485797064721,3.0,0.022922362814837,0.5345417565609202,0.0495956924356171,0.0
