pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,length,n_resp,stim_tempo_intended,stim_tempo,stim_sd,interval_i,stim_ioi,resp_iti,ioi_iti_diff
11,21,M,danish,right,0.0,42,11_42,4,4,600,643.706293706294,86.9919951372359,2,661.188811188811,554.318181818182,106.870629370629
11,21,M,danish,right,0.0,42,11_42,4,4,600,643.706293706294,86.9919951372359,3,720.629370629371,636.136363636364,84.4930069930069
11,21,M,danish,right,0.0,42,11_42,4,4,600,643.706293706294,86.9919951372359,1,549.300699300699,636.136363636364,86.8356643356642
11,21,M,danish,right,0.0,42,11_42,4,4,600,643.706293706294,86.9919951372359,2,661.188811188811,554.318181818182,106.870629370629
11,21,M,danish,right,0.0,42,11_42,4,4,600,643.706293706294,86.9919951372359,3,720.629370629371,636.136363636364,84.4930069930069
11,21,M,danish,right,0.0,43,11_43,5,5,400,405.235602094241,144.438423153963,1,482.460732984293,460.227272727273,22.2334602570205
11,21,M,danish,right,0.0,43,11_43,5,5,400,405.235602094241,144.438423153963,2,406.544502617801,468.409090909091,61.8645882912897
11,21,M,danish,right,0.0,43,11_43,5,5,400,405.235602094241,144.438423153963,3,529.581151832461,646.363636363636,116.782484531176
11,21,M,danish,right,0.0,43,11_43,5,5,400,405.235602094241,144.438423153963,4,202.356020942408,276.136363636364,73.7803426939554
11,21,M,danish,right,0.0,43,11_43,5,5,400,405.235602094241,144.438423153963,1,482.460732984293,460.227272727273,22.2334602570205
11,21,M,danish,right,0.0,43,11_43,5,5,400,405.235602094241,144.438423153963,2,406.544502617801,468.409090909091,61.8645882912897
11,21,M,danish,right,0.0,43,11_43,5,5,400,405.235602094241,144.438423153963,3,529.581151832461,646.363636363636,116.782484531176
11,21,M,danish,right,0.0,43,11_43,5,5,400,405.235602094241,144.438423153963,4,202.356020942408,276.136363636364,73.7803426939554
11,21,M,danish,right,0.0,44,11_44,4,4,600,509.67365967366,191.809058994599,1,731.118881118881,713.863636363636,17.2552447552447
11,21,M,danish,right,0.0,44,11_44,4,4,600,509.67365967366,191.809058994599,2,395.454545454545,425.454545454545,30.0
