pp_id,age,gender,L1,handedness,musical_experience,stim_id,sequence_id,stim_tempo_intended,stim_tempo,stim_sd,length,n_resp,ITI_mean,ITI_sd,edit_distance,stim_entropy,resp_entropy,entropy_diff,G,silhouette,rhythmic_contours_edit_distance
4,22,F,danish,right,0.0,7,4_7,400,411.072261072261,243.360997201361,4,4,429.545454545455,209.985610486934,3,1.3862943611198906,1.3862943611198906,0.0,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,8,4_8,600,514.335664335664,187.869966881254,4,4,540.0,232.327982219779,1,1.039720770839918,1.3862943611198906,0.3465735902799727,0.023560942453414335,0.540642730367117,0
4,22,F,danish,right,0.0,9,4_9,400,407.575757575758,153.859397607539,4,4,451.363636363636,164.520339620244,1,1.039720770839918,1.3862943611198906,0.3465735902799727,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,10,4_10,600,717.801047120419,103.494227229166,5,5,647.897727272727,89.4150671617328,2,1.039720770839918,1.3862943611198906,0.3465735902799727,0.023560942453414335,0.540642730367117,1
4,22,F,danish,right,0.0,11,4_11,400,395.920745920746,131.495186505822,4,4,396.136363636364,99.7111012826972,2,1.039720770839918,1.3862943611198906,0.3465735902799727,0.03039707248413781,0.5500403462669369,0
4,22,F,danish,right,0.0,12,4_12,600,595.418848167539,137.816306835565,5,5,552.272727272727,76.8067500907578,1,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.023560942453414335,0.540642730367117,1
4,22,F,danish,right,0.0,14,4_14,600,531.818181818182,125.143567609603,4,4,544.090909090909,139.316328031564,2,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.023560942453414335,0.540642730367117,1
4,22,F,danish,right,0.0,15,4_15,400,482.167832167832,26.3980225009466,4,4,526.363636363636,98.274104354997,3,1.0986122886681096,0.6365141682948128,-0.4620981203732968,0.03039707248413781,0.5500403462669369,1
4,22,F,danish,right,0.0,16,4_16,600,753.141361256545,115.381393899236,5,5,657.102272727273,61.8475239521216,3,1.039720770839918,1.3862943611198906,0.3465735902799727,0.023560942453414335,0.540642730367117,2
4,22,F,danish,right,0.0,18,4_18,600,602.913752913753,175.046479975347,4,4,556.363636363636,106.422623503597,1,1.039720770839918,1.3862943611198906,0.3465735902799727,0.023560942453414335,0.540642730367117,0
