pp_id,stim_tempo_intended,length,sequence_id,interval_ratio_i,interval_ratio
1,600,5,1_123,1,0.4257425742574258
1,600,5,1_123,2,0.5908319185059425
1,600,5,1_123,3,0.5320088300220746
1,600,5,1_131,1,0.4175824175824175
1,600,5,1_131,2,0.49302325581395345
1,600,5,1_131,3,0.5736842105263155
1,600,5,1_135,1,0.4275092936802971
1,600,5,1_135,2,0.4680851063829787
1,600,5,1_135,3,0.6076388888888891
1,600,5,1_146,1,0.37923728813559343
1,600,5,1_146,2,0.5077989601386482
1,600,5,1_146,3,0.49650349650349657
1,600,5,1_15,1,0.6152542372881356
1,600,5,1_15,2,0.38344594594594605
1,600,5,1_15,3,0.4959239130434783
1,600,5,1_150,1,0.5939597315436241
1,600,5,1_150,2,0.537777777777778
1,600,5,1_150,3,0.4814814814814813
1,600,5,1_152,1,0.35567010309278346
1,600,5,1_152,2,0.46728971962616817
1,600,5,1_152,3,0.47979797979797945
1,600,5,1_154,1,0.41532976827094464
1,600,5,1_154,2,0.49848024316109424
1,600,5,1_154,3,0.6
1,600,5,1_158,1,0.4948586118251929
1,600,5,1_158,2,0.6218354430379748
1,600,5,1_158,3,0.3886178861788616
1,600,5,1_160,1,0.5735537190082642
1,600,5,1_160,2,0.3920972644376901
1,600,5,1_160,3,0.5181347150259067
1,600,5,1_17,1,0.6267857142857142
1,600,5,1_17,2,0.5456919060052219
1,600,5,1_17,3,0.5
1,600,5,1_170,1,0.41620111731843557
1,600,5,1_170,2,0.4976190476190477
1,600,5,1_170,3,0.3663194444444444
1,600,5,1_172,1,0.6398026315789476
1,600,5,1_172,2,0.5474999999999995
1,600,5,1_172,3,0.4180138568129334
1,600,5,1_180,1,0.40462427745664753
1,600,5,1_180,2,0.5508021390374335
1,600,5,1_180,3,0.4508050089445438
1,600,5,1_182,1,0.6158536585365855
1,600,5,1_182,2,0.5070422535211264
1,600,5,1_182,3,0.3990228013029319
1,600,5,1_184,1,0.6376306620209062
1,600,5,1_184,2,0.5347043701799481
1,600,5,1_184,3,0.4878706199460916
1,600,5,1_186,1,0.5982608695652175
1,600,5,1_186,2,0.5422535211267607
1,600,5,1_186,3,0.41666666666666635
1,600,5,1_188,1,0.36382536382536346
1,600,5,1_188,2,0.48494453248811425
1,600,5,1_188,3,0.3850710900473931
1,600,5,1_27,1,0.34683544303797476
1,600,5,1_27,2,0.4942528735632185
1,600,5,1_27,3,0.39285714285714274
1,600,5,1_29,1,0.6308492201039864
1,600,5,1_29,2,0.5351758793969847
1,600,5,1_29,3,0.53314121037464
1,600,5,1_3,1,0.40759075907590764
1,600,5,1_3,2,0.48976807639836295
1,600,5,1_3,3,0.6141215106732348
1,600,5,1_33,1,0.6344696969696972
1,600,5,1_33,2,0.5302197802197802
1,600,5,1_33,3,0.4191176470588235
1,600,5,1_37,1,0.6511156186612574
1,600,5,1_37,2,0.5341614906832298
1,600,5,1_37,3,0.413223140495868
1,600,5,1_41,1,0.5916230366492146
1,600,5,1_41,2,0.39130434782608703
1,600,5,1_41,3,0.4905660377358492
1,600,5,1_43,1,0.5109589041095888
1,600,5,1_43,2,0.6165803108808291
1,600,5,1_43,3,0.39153439153439157
1,600,5,1_45,1,0.619047619047619
1,600,5,1_45,2,0.37664783427495274
1,600,5,1_45,3,0.4540466392318246
